"state" "time" "cost" "Item"
"WorkingState 1" 0 0 1
"WorkingState 2" 0.355161721937274 0 1
"WorkingState 3" 1.03786694892839 0 1
"FailureState 3" 1.20634966390978 0 1
"WorkingState 3" 1.20711570119548 286.945357902399 1
"WorkingState 4" 1.40586722954179 0 1
"FailureState 4" 1.5101409082953 0 1
"WorkingState 4" 1.52008314775584 391.987904380264 1
"FailureState 4" 1.85276977193126 0 1
"WorkingState 4" 1.85697374457833 415.954662791741 1
"FailureState 4" 1.86051983544934 0 1
"WorkingState 4" 1.86244737817045 385.277211612689 1
"FailureState 4" 2.43460540047666 0 1
"WorkingState 1" 0 0 2
"FailureState 1" 0.428706633974508 0 2
"WorkingState 1" 0.429600655052198 90.8477604612417 2
"WorkingState 2" 0.711896349530906 0 2
"WorkingState 3" 3.276242351891 0 2
"WorkingState 1" 0 0 3
"WorkingState 2" 1.41178543838666 0 3
"WorkingState 3" 2.29683782990448 0 3
"WorkingState 1" 0 0 4
"WorkingState 2" 4.3634270215345 0 4
"WorkingState 1" 0 0 5
"WorkingState 2" 1.59420658521862 0 5
"FailureState 2" 1.74102481735038 0 5
"WorkingState 2" 1.74312224639849 120.624700059417 5
"WorkingState 3" 2.21657843432142 0 5
"WorkingState 1" 0 0 6
"WorkingState 2" 0.985770682458204 0 6
"FailureState 2" 1.20642113728098 0 6
"WorkingState 2" 1.2078751283387 180.626769897795 6
"FailureState 2" 1.92488120973467 0 6
"WorkingState 2" 1.93101645049946 115.829308613592 6
"WorkingState 3" 2.19515772379762 0 6
"WorkingState 1" 0 0 7
"WorkingState 2" 0.478682108281869 0 7
"FailureState 2" 1.64484366190859 0 7
"WorkingState 2" 1.65352664824589 130.084697252979 7
"WorkingState 3" 1.85300221405085 0 7
"FailureState 3" 2.14561997965265 0 7
"WorkingState 1" 0 0 8
"WorkingState 2" 0.85056219197703 0 8
"WorkingState 3" 1.17843569077484 0 8
"FailureState 3" 1.22307400192231 0 8
"WorkingState 3" 1.22756282811743 304.856443353412 8
"WorkingState 4" 1.83273088124434 0 8
"FailureState 4" 2.03060626253264 0 8
"WorkingState 1" 0 0 9
"WorkingState 2" 4.44792216922183 0 9
"WorkingState 1" 0 0 10
"WorkingState 2" 3.26685066669806 0 10
"WorkingState 1" 0 0 11
"WorkingState 2" 1.72474528742233 0 11
"WorkingState 3" 2.42373261775511 0 11
"WorkingState 1" 0 0 12
"WorkingState 2" 1.25602409952146 0 12
"FailureState 2" 1.7037356483493 0 12
"WorkingState 2" 1.70486552259841 181.646518049397 12
"WorkingState 3" 3.29018275114294 0 12
"WorkingState 1" 0 0 13
"WorkingState 2" 8.59811397567794 0 13
"WorkingState 1" 0 0 14
"WorkingState 2" 1.84665829662127 0 14
"WorkingState 3" 2.96887232573016 0 14
"WorkingState 1" 0 0 15
"WorkingState 2" 5.01191832907844 0 15
"WorkingState 1" 0 0 16
"WorkingState 2" 0.799621624368313 0 16
"FailureState 2" 1.11876255626678 0 16
"WorkingState 2" 1.12440177072414 143.601473910193 16
"WorkingState 3" 1.14914260552001 0 16
"WorkingState 4" 1.36831735529018 0 16
"FailureState 4" 1.3991088799713 0 16
"WorkingState 1" 1.40532618822763 750.37932930513 16
"WorkingState 2" 1.74475349965576 0 16
"WorkingState 3" 2.2259531541483 0 16
"WorkingState 1" 0 0 17
"WorkingState 2" 0.93363279264011 0 17
"WorkingState 3" 1.55962226178041 0 17
"WorkingState 4" 1.98250612635639 0 17
"FailureState 4" 1.99849497890474 0 17
"WorkingState 4" 2.00435090831971 383.417120453225 17
"WorkingState 1" 0 0 18
"WorkingState 2" 1.16775947700234 0 18
"FailureState 2" 1.21772104822486 0 18
"WorkingState 2" 1.22454369788378 167.83298752721 18
"WorkingState 3" 1.25674409059311 0 18
"FailureState 3" 1.32349676451753 0 18
"WorkingState 3" 1.32518575383234 296.793416820485 18
"FailureState 3" 2.03234579012863 0 18
"WorkingState 1" 0 0 19
"WorkingState 2" 2.05977505535752 0 19
"WorkingState 1" 0 0 20
"WorkingState 2" 2.16749618801369 0 20
"WorkingState 1" 0 0 21
"WorkingState 2" 0.0382306731389035 0 21
"FailureState 2" 0.0766913098169525 0 21
"WorkingState 2" 0.0771616916370312 133.349791478834 21
"WorkingState 3" 0.407652195115701 0 21
